"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","64204","test_update[Planning Client -> Milestone panel:Hidden Fields]","Planning Client -> Milestone panel","2026-01-04","failed","2026-01-04","Hidden Fields","edit","",""
"
    Test to ensure non-admin users cannot edit configuration settings.
    This test is parametrized for 2 random rows per sheet.
    ","33323","test_edit_non_admin[Metrics -> Throughput:Project Unit]","Metrics -> Throughput","2026-01-03","failed","2026-01-03","Project Unit","edit_non_admin","",""
"","49251","test_view[Common -> Filter Names:Subproject Milestones]","Common -> Filter Names","2026-01-04","passed","2026-01-04","Subproject Milestones","view","",""
"","22049","test_view[Common -> Column Names:Float Based CC]","Common -> Column Names","2026-01-04","failed","2026-01-04","Float Based CC","view","",""
"","70002","test_update[Common -> Column Names:% Completion on Release]","Common -> Column Names","2026-01-03","failed","2026-01-03","% Completion on Release","edit","",""
"","52824","test_view[DBR:DBR_ColorPriority1]","DBR","2026-01-04","failed","2026-01-04","DBR_ColorPriority1","view","",""
"","69170","test_update[Task List -> Common:Show Users And Teams From All Divisions In Assign Participants Dialog]","Task List -> Common","2026-01-04","passed","2026-01-04","Show Users And Teams From All Divisions In Assign Participants Dialog","edit","",""
"","67101","test_view[Project Mgr -> Milestone Report -> Search Columns for Milestone Report:ATTRIBUTE4]","Project Mgr -> Milestone Report -> Search Columns for Milestone Report","2026-01-05","failed","2026-01-05","ATTRIBUTE4","view","",""
"","57923","test_update[Common -> Filter Names:Project End Only]","Common -> Filter Names","2026-01-03","failed","2026-01-03","Project End Only","edit","",""
"
    Test context retention for 3 randomly picked rows from the Excel sheet.
    ","158010","test_context_retention[Executive -> Stuck Task List:Hidden Fields]","Executive -> Stuck Task List","2026-01-03","failed","2026-01-03","Hidden Fields","context_retention","",""
"","90888","test_update[Common -> Filter Names:Custom Task Text2]","Common -> Filter Names","2026-01-03","failed","2026-01-03","Custom Task Text2","edit","",""
"","47832","test_update[DBR:Enable DBR Project Type]","DBR","2026-01-04","passed","2026-01-04","Enable DBR Project Type","edit","",""
"","41440","test_update[Common -> Filter Names:Weekly]","Common -> Filter Names","2026-01-03","passed","2026-01-03","Weekly","edit","",""
"","39907","test_view[Common -> Column Names:Parameter]","Common -> Column Names","2026-01-04","passed","2026-01-04","Parameter","view","",""
"","59132","test_view[Common -> Column Names:% Chain complete]","Common -> Column Names","2026-01-04","failed","2026-01-04","% Chain complete","view","",""
"","52080","test_view[Common -> Column Names:Global Max units]","Common -> Column Names","2026-01-04","failed","2026-01-04","Global Max units","view","",""
"","65184","test_update[Executive -> Project Status:Show Project Labels]","Executive -> Project Status","2026-01-04","passed","2026-01-04","Show Project Labels","edit","",""
"","64582","test_view[Bulk Import:Email From]","Bulk Import","2026-01-04","failed","2026-01-04","Email From","view","",""
"","115892","test_update[Common -> Column Names:Task Duration(for SubTask)]","Common -> Column Names","2026-01-03","failed","2026-01-03","Task Duration(for SubTask)","edit","",""
"
    Test negative update queries for 2 randomly picked rows from the Excel sheet per sheet.
    Generates an invalid update command and expects the LLM to respond with an error or correction.
    ","57870","test_negative_update[Project Mgr -> Project Chain View/Project Penetrating Chain:Hidden Fields]","Project Mgr -> Project Chain View/Project Penetrating Chain","2026-01-03","failed","2026-01-03","Hidden Fields","negative_update","",""
"","37708","test_view[Executive -> Action Items:Hidden Fields]","Executive -> Action Items","2026-01-04","failed","2026-01-04","Hidden Fields","view","",""
